814	1
815	2
816	1
817	1
818	1
819	1
820	1
821	1
822	1
823	1
824	1
825	1
826	2
827	2
828	2
829	1
830	1
831	1
832	2
833	1
834	1
835	1
836	1
837	1
838	2
839	1
840	1
841	1
842	1
843	1
844	1
845	1
846	1
847	1
848	1
849	1
850	1
851	2
852	1
853	1
854	1
855	2
856	1
857	1
858	1
859	1
860	1
861	1
862	1
863	1
864	1
865	2
866	1
867	1
868	1
869	1
870	1
871	1
872	1
873	1
874	1
875	2
876	1
877	2
878	1
879	1
880	1
881	1
882	1
883	1
884	1
885	1
886	1
887	2
888	1
889	1
890	1
891	1
892	1
893	1
894	1
895	1
896	1
897	2
898	1
899	1
900	1
901	1
902	1
903	1
904	1
905	1
906	1
907	1
908	1
909	1
910	1
911	1
912	1
913	1
914	1
915	1
916	1
917	1
918	2
919	1
920	1
921	2
922	1
923	1
924	1
925	1
926	1
927	2
928	1
929	1
930	1
931	1
932	1
933	2
934	1
935	1
936	3
937	1
938	1
939	1
940	1
941	1
942	2
943	1
944	1
945	1
946	1
947	1
948	1
949	1
950	1
951	1
952	1
953	1
954	1
955	2
956	2
957	2
958	2
959	2
960	1
961	1
962	1
963	1
964	2
965	1
966	1
967	1
968	1
969	1
970	1
971	2
972	1
973	1
974	2
975	1
976	1
977	1
978	1
979	2
980	1
981	1
982	2
983	1
984	2
985	1
986	1
987	1
988	1
989	3
990	4
991	2
992	1
993	1
994	1
995	1
996	1
997	1
998	1
999	2
